name,code,description,category,price,vendor,warranty_months,created_at
Màn hình LG 27UP850N-W 4K IPS 27 inch,MH-LG27UP850,Màn hình 27 inch 4K UHD IPS - USB-C 96W - HDR400 - phù hợp đồ họa & văn phòng,Monitor,12149000,Samsung,36,2026-02-14
Màn hình Dell U2723D UltraSharp 27 inch,MH-DEU2723D,Màn hình IPS 2K 27 inch - USB-C 90W - Hub USB - độ chính xác màu sắc cao Delta E<2,Monitor,6410000,LG Electronics,36,2026-03-06
Màn hình Samsung Odyssey G5 27 inch 165Hz,MH-SAG527G5,Màn hình cong 1000R VA 27 inch - 165Hz - 1ms - FreeSync Premium - phù hợp gaming & làm việc,Monitor,20204000,ASUS,24,2025-10-26
Màn hình ASUS ProArt PA278CV 27 inch 2K,MH-ASPA278CV,Màn hình IPS 2K 27 inch - USB-C 65W - 100% sRGB - Calman Verified - cho đồ họa chuyên nghiệp,Monitor,22487000,Samsung,24,2025-11-04
Màn hình ViewSonic VX2480-SHDJ 24 inch FHD,MH-VSVX2480,Màn hình IPS 24 inch Full HD - 75Hz - HDMI & DisplayPort - chân đế điều chỉnh chiều cao,Monitor,8978000,Samsung,36,2026-02-21
Màn hình di động Asus ZenScreen MB16QHD 16 inch,MH-ASMB16QHD,Màn hình di động IPS 2K 16 inch - 120Hz - USB-C một cáp - trọng lượng 900g - có giá đỡ,Monitor,20823000,ASUS,36,2026-02-11
Laptop ASUS Vivobook 15 OLED K3504VA,LT-ASVBK3504,Laptop 15.6 inch OLED 2.8K - Intel Core i5-1340P - RAM 16GB - SSD 512GB - bảo hành 2 năm,Laptop,51626000,Lenovo,12,2025-12-15
Laptop Dell Inspiron 15 3535,LT-DEIN3535,Laptop 15.6 inch FHD - AMD Ryzen 5 7530U - RAM 16GB - SSD 512GB - Windows 11 Home,Laptop,28648000,MSI,24,2025-11-10
Laptop HP Pavilion 15-eg3091TU,LT-HPPV15EG,Laptop 15.6 inch FHD IPS - Intel Core i5-1335U - RAM 8GB - SSD 256GB - pin 9h,Laptop,21679000,Acer,12,2026-02-27
Laptop Lenovo IdeaPad Slim 5 16IRU9,LT-LNIP516I,Laptop 16 inch 2K IPS - Intel Core i5-13420H - RAM 16GB - SSD 512GB - nhẹ 1.79kg,Laptop,18208000,ASUS,12,2025-12-20
Laptop Apple MacBook Air M3 13 inch,LT-APMBA13M3,Laptop 13.6 inch Liquid Retina - Apple M3 8 nhân - RAM 16GB - SSD 256GB - pin 18h,Laptop,34956000,MSI,24,2025-12-07
Laptop MSI Modern 15 B13M,LT-MSMD15B13,Laptop 15.6 inch FHD IPS - Intel Core i7-1355U - RAM 16GB - SSD 512GB - trọng lượng 1.9kg,Laptop,54615000,MSI,12,2025-11-10
Laptop Acer Aspire Lite AL15-52,LT-ACASAL1552,Laptop 15.6 inch FHD - Intel Core i5-1235U - RAM 8GB - SSD 512GB - thiết kế mỏng nhẹ,Laptop,29811000,MSI,24,2026-01-18
Laptop Lenovo ThinkPad E16 Gen 2,LT-LNTPE16G2,Laptop doanh nhân 16 inch FHD+ IPS - AMD Ryzen 5 7535U - RAM 16GB - SSD 512GB - bảo mật cao,Laptop,20202000,Samsung,12,2026-02-09
Laptop LG Gram 17 2024,LT-LGGM172024,Laptop 17 inch WQXGA IPS - Intel Core Ultra 7 - RAM 32GB - SSD 1TB - nhẹ 1.35kg - chuẩn MIL-SPEC,Laptop,38915000,ASUS,12,2025-12-03
PC Gaming ASUS ROG Strix G16CHR,PC-ASRGSTR16C,PC Gaming cao cấp - Intel Core i7-14700F - RTX 4070 - RAM 32GB DDR5 - SSD 1TB - tản nhiệt liquid,PC,55126000,ASUS,12,2025-11-24
PC Gaming MSI Codex R2 14NUC7,PC-MSCDR214N,PC gaming mini form - Intel Core i7-14700F - RTX 4060 - RAM 32GB - SSD 1TB - nhỏ gọn,PC,35782000,MSI,24,2025-12-06
PC Mini Beelink EQ12 N100,PC-BLMINIEQ12,Mini PC Intel Alder Lake N100 - RAM 16GB - SSD 500GB - Wi-Fi 6 - HDMI+DP - tiết kiệm điện,PC,36204000,Gigabyte,36,2025-12-30
PC Gaming Acer Predator Orion 3000,PC-ACPRO3000,PC gaming - Intel Core i5-14400F - RTX 4060 Ti - RAM 16GB DDR5 - SSD 1TB NVMe,PC,19660000,MSI,24,2025-12-16
PC All-in-One Lenovo IdeaCentre AIO 3,PC-LNAIC3270,PC AIO 27 inch FHD - Intel Core i5-13420H - RAM 16GB - SSD 512GB - loa tích hợp - Win 11,PC,43920000,MSI,24,2026-01-06
PC Gaming Gigabyte Brix Pro GB-BRi7H,PC-GBBRXI7H,Mini PC Intel Core i7-1360P - RAM 32GB - SSD 1TB - Thunderbolt 4 - Wi-Fi 6E - nhỏ gọn,PC,44498000,Gigabyte,24,2026-03-20
